Id,Brand,Product_Name,Price,Category,Subcategory,Material,Percentage_Material,Material_CO2,Material_Water,Material_Energy,Material_Chemical,Care_Instruction,Care_CO2,Care_Energy,Care_Water,Origin,Origin_Grid,Origin_Transport,Origin_Manufacturing,Certificate1,Cert1_Bonus,Certificate2,Cert2_Bonus,Price_num
219,Penneys,Jumper Ribbed,€ 18.39,Man,Jumper,Merino Wool,100.0,16.0,900.0,170.0,48.0,Hand wash,0.015,0.2,8.0,Italy,0.3,0.1,0.35,,0.0,,0.0,18.39
220,Patagonia,Tshirt Ribbed,€ 79.18,Man,Tshirt,Cotton,56.7,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Fair Trade,0.2,Bluesign,0.2,79.18
220,Patagonia,Tshirt Ribbed,€ 79.18,Man,Tshirt,Organic Cotton,43.3,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Fair Trade,0.2,Bluesign,0.2,79.18
221,Penneys,Sweater Oversized,€ 17.90,Woman,Sweater,Recycled Cashmere,100.0,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,,0.0,,0.0,17.9
222,H&M,Tshirt Slim Fit,€ 9.60,Man,Tshirt,Organic Cotton,4.1,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,9.6
222,H&M,Tshirt Slim Fit,€ 9.60,Man,Tshirt,Viscose,78.9,5.0,400.0,60.0,30.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,9.6
222,H&M,Tshirt Slim Fit,€ 9.60,Man,Tshirt,Recycled Cotton,16.9,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,9.6
223,Zara,Jumper Ribbed,€ 39.13,Man,Jumper,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Oeko-Tex 100,0.1,,0.0,39.13
224,Zara,Tshirt Regular Fit,€ 18.93,Man,Tshirt,Cotton,83.2,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Oeko-Tex 100,0.1,,0.0,18.93
224,Zara,Tshirt Regular Fit,€ 18.93,Man,Tshirt,Lyocell,16.8,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Oeko-Tex 100,0.1,,0.0,18.93
225,Zara,Jumper Oversized,€ 54.18,Man,Jumper,Elastane,100.0,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,54.18
226,Patagonia,Tshirt Slim Fit,€ 40.94,Man,Tshirt,Lyocell,100.0,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,40.94
227,Penneys,Tshirt Slim Fit,€ 5.29,Woman,Tshirt,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,5.29
228,Patagonia,Sweater Textured,€ 109.56,Woman,Sweater,Wool,43.8,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,109.56
228,Patagonia,Sweater Textured,€ 109.56,Woman,Sweater,Acrylic,55.4,6.0,30.0,110.0,40.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,109.56
228,Patagonia,Sweater Textured,€ 109.56,Woman,Sweater,Recycled Polyester,0.8,5.5,20.0,60.0,20.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,109.56
229,Zara,Jacket Oversized,€ 119.43,Man,Jacket,Recycled Nylon,35.7,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,119.43
229,Zara,Jacket Oversized,€ 119.43,Man,Jacket,Polyester,12.8,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,119.43
229,Zara,Jacket Oversized,€ 119.43,Man,Jacket,Acrylic,51.5,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,119.43
230,Penneys,Tshirt Ribbed,€ 11.94,Man,Tshirt,Polyester,100.0,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,11.94
231,H&M,Tshirt Oversized,€ 11.95,Man,Tshirt,Polyester,100.0,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,11.95
232,Penneys,Jumper Oversized,€ 11.20,Woman,Jumper,Elastane,10.3,9.0,50.0,150.0,45.0,Hand wash,0.015,0.2,8.0,China,0.65,0.4,0.6,,0.0,,0.0,11.2
232,Penneys,Jumper Oversized,€ 11.20,Woman,Jumper,Wool,63.3,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,China,0.65,0.4,0.6,,0.0,,0.0,11.2
232,Penneys,Jumper Oversized,€ 11.20,Woman,Jumper,Recycled Cashmere,26.4,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,China,0.65,0.4,0.6,,0.0,,0.0,11.2
233,Zara,Tshirt Asymmetric,€ 21.88,Man,Tshirt,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,China,0.65,0.4,0.6,,0.0,,0.0,21.88
234,Zara,Jumper Cropped,€ 54.55,Woman,Jumper,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,54.55
235,Penneys,Sweater Ribbed,€ 13.13,Woman,Sweater,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,13.13
236,Penneys,Tshirt Regular Fit,€ 11.54,Woman,Tshirt,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,11.54
237,Penneys,Jacket Cropped,€ 30.73,Man,Jacket,Recycled Nylon,100.0,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,30.73
238,Zara,Jacket Ribbed,€ 107.95,Man,Jacket,Acrylic,94.9,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,Oeko-Tex 100,0.1,,0.0,107.95
238,Zara,Jacket Ribbed,€ 107.95,Man,Jacket,Recycled Nylon,5.1,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,Oeko-Tex 100,0.1,,0.0,107.95
239,Patagonia,Jumper Oversized,€ 130.50,Woman,Jumper,Organic Cotton,77.6,3.2,1800.0,40.0,20.0,Hand wash,0.015,0.2,8.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,130.5
239,Patagonia,Jumper Oversized,€ 130.50,Woman,Jumper,Recycled Cashmere,22.4,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,130.5
240,Patagonia,Tshirt Cropped,€ 38.28,Woman,Tshirt,Recycled Cotton,100.0,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,38.28
241,H&M,Jumper Ribbed,€ 39.05,Woman,Jumper,Recycled Polyester,55.2,5.5,20.0,60.0,20.0,Hand wash,0.015,0.2,8.0,Thailand,0.45,0.35,0.55,RWS,0.15,,0.0,39.05
241,H&M,Jumper Ribbed,€ 39.05,Woman,Jumper,Recycled Cashmere,44.8,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,Thailand,0.45,0.35,0.55,RWS,0.15,,0.0,39.05
242,Patagonia,Jacket Regular Fit,€ 269.21,Man,Jacket,Recycled Nylon,100.0,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,Fair Trade,0.2,Bluesign,0.2,269.21
243,Patagonia,Sweater Ribbed,€ 155.61,Man,Sweater,Recycled Cashmere,100.0,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,China,0.65,0.4,0.6,Fair Trade,0.2,,0.0,155.61
244,H&M,Sweater Regular Fit,€ 38.37,Man,Sweater,Recycled Acrylic,100.0,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,,0.0,,0.0,38.37
245,Zara,Jacket Regular Fit,€ 92.37,Man,Jacket,Wool,9.7,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,,0.0,,0.0,92.37
245,Zara,Jacket Regular Fit,€ 92.37,Man,Jacket,Cotton,35.1,6.0,2700.0,55.0,40.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,,0.0,,0.0,92.37
245,Zara,Jacket Regular Fit,€ 92.37,Man,Jacket,Recycled Nylon,55.2,5.0,20.0,70.0,18.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,,0.0,,0.0,92.37
246,Penneys,Jumper Ribbed,€ 20.25,Man,Jumper,Organic Cotton,51.8,3.2,1800.0,40.0,20.0,Hand wash,0.015,0.2,8.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,20.25
246,Penneys,Jumper Ribbed,€ 20.25,Man,Jumper,Wool,48.2,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Turkey,0.4,0.2,0.45,,0.0,,0.0,20.25
247,H&M,Tshirt Cropped,€ 5.10,Woman,Tshirt,Recycled Cotton,100.0,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,5.1
248,Patagonia,Sweater Asymmetric,€ 192.68,Man,Sweater,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,192.68
249,H&M,Tshirt Regular Fit,€ 15.83,Man,Tshirt,Lyocell,100.0,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,China,0.65,0.4,0.6,Oeko-Tex 100,0.1,,0.0,15.83
250,H&M,Tshirt Regular Fit,€ 7.23,Woman,Tshirt,Viscose,100.0,5.0,400.0,60.0,30.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,7.23
251,Patagonia,Tshirt Oversized,€ 78.17,Man,Tshirt,Cotton,73.9,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,Fair Trade,0.2,,0.0,78.17
251,Patagonia,Tshirt Oversized,€ 78.17,Man,Tshirt,Recycled Cotton,26.1,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,Fair Trade,0.2,,0.0,78.17
252,H&M,Tshirt Asymmetric,€ 11.08,Man,Tshirt,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Oeko-Tex 100,0.1,,0.0,11.08
253,Patagonia,Jacket Textured,€ 300.41,Woman,Jacket,Recycled Polyester,49.7,5.5,20.0,60.0,20.0,Hand wash,0.015,0.2,8.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,,0.0,300.41
253,Patagonia,Jacket Textured,€ 300.41,Woman,Jacket,Wool,50.3,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,,0.0,300.41
254,Patagonia,Sweater Asymmetric,€ 238.62,Man,Sweater,Wool,100.0,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,Bluesign,0.2,238.62
255,Penneys,Tshirt Ribbed,€ 8.28,Man,Tshirt,Polyester,100.0,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,8.28
256,Patagonia,Sweater Slim Fit,€ 213.34,Woman,Sweater,Recycled Acrylic,100.0,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,213.34
257,Patagonia,Jumper Cropped,€ 111.40,Man,Jumper,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Fair Trade,0.2,,0.0,111.4
258,Patagonia,Jacket Ribbed,€ 201.84,Man,Jacket,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Fair Trade,0.2,Bluesign,0.2,201.84
259,H&M,Sweater Cropped,€ 21.16,Woman,Sweater,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Oeko-Tex 100,0.1,,0.0,21.16
260,Patagonia,Sweater Oversized,€ 115.98,Woman,Sweater,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,India,0.5,0.4,0.65,Fair Trade,0.2,Bluesign,0.2,115.98
261,H&M,Jumper Slim Fit,€ 26.22,Man,Jumper,Recycled Acrylic,100.0,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,GRS,0.2,,0.0,26.22
262,Patagonia,Tshirt Oversized,€ 53.62,Woman,Tshirt,Organic Cotton,70.8,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,Bluesign,0.2,53.62
262,Patagonia,Tshirt Oversized,€ 53.62,Woman,Tshirt,Recycled Cotton,29.2,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,Bluesign,0.2,53.62
263,Zara,Sweater Oversized,€ 30.74,Woman,Sweater,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,30.74
264,Patagonia,Tshirt Oversized,€ 46.33,Woman,Tshirt,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,46.33
265,Zara,Sweater Asymmetric,€ 57.95,Man,Sweater,Cotton,10.7,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Oeko-Tex 100,0.1,,0.0,57.95
265,Zara,Sweater Asymmetric,€ 57.95,Man,Sweater,Recycled Acrylic,32.4,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Oeko-Tex 100,0.1,,0.0,57.95
265,Zara,Sweater Asymmetric,€ 57.95,Man,Sweater,Recycled Polyester,56.9,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Oeko-Tex 100,0.1,,0.0,57.95
266,Zara,Sweater Oversized,€ 44.13,Woman,Sweater,Recycled Polyester,100.0,5.5,20.0,60.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,GRS,0.2,,0.0,44.13
267,Patagonia,Jumper Oversized,€ 156.41,Man,Jumper,Elastane,100.0,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Fair Trade,0.2,Bluesign,0.2,156.41
268,Zara,Tshirt Textured,€ 19.23,Woman,Tshirt,Lyocell,59.0,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,19.23
268,Zara,Tshirt Textured,€ 19.23,Woman,Tshirt,Viscose,41.0,5.0,400.0,60.0,30.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,19.23
269,Penneys,Jumper Oversized,€ 19.20,Man,Jumper,Elastane,100.0,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,19.2
270,Patagonia,Jacket Regular Fit,€ 236.52,Man,Jacket,Nylon,100.0,8.5,40.0,140.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,Fair Trade,0.2,,0.0,236.52
271,H&M,Tshirt Cropped,€ 8.72,Man,Tshirt,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,BCI Cotton,0.05,,0.0,8.72
272,Penneys,Jacket Asymmetric,€ 15.32,Man,Jacket,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,15.32
273,Zara,Jacket Oversized,€ 71.29,Woman,Jacket,Polyester,79.5,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Oeko-Tex 100,0.1,,0.0,71.29
273,Zara,Jacket Oversized,€ 71.29,Woman,Jacket,Nylon,6.8,8.5,40.0,140.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Oeko-Tex 100,0.1,,0.0,71.29
273,Zara,Jacket Oversized,€ 71.29,Woman,Jacket,Recycled Nylon,13.7,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Oeko-Tex 100,0.1,,0.0,71.29
274,H&M,Jumper Oversized,€ 22.80,Man,Jumper,Recycled Acrylic,100.0,3.5,15.0,55.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,22.8
275,Patagonia,Jacket Oversized,€ 135.45,Woman,Jacket,Nylon,100.0,8.5,40.0,140.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,135.45
276,Zara,Jumper Regular Fit,€ 26.98,Woman,Jumper,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,,0.0,,0.0,26.98
277,Patagonia,Jumper Ribbed,€ 196.07,Man,Jumper,Elastane,100.0,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Fair Trade,0.2,,0.0,196.07
278,Patagonia,Jacket Slim Fit,€ 121.02,Woman,Jacket,Wool,100.0,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,Fair Trade,0.2,,0.0,121.02
279,H&M,Tshirt Cropped,€ 18.08,Woman,Tshirt,Elastane,100.0,9.0,50.0,150.0,45.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,,0.0,,0.0,18.08
280,Patagonia,Sweater Regular Fit,€ 158.30,Man,Sweater,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Bangladesh,0.55,0.45,0.7,Fair Trade,0.2,Bluesign,0.2,158.3
281,Penneys,Tshirt Textured,€ 4.21,Woman,Tshirt,Recycled Cotton,100.0,2.0,500.0,20.0,10.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,4.21
282,Penneys,Jumper Regular Fit,€ 14.60,Woman,Jumper,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,14.6
283,Zara,Jumper Slim Fit,€ 31.55,Woman,Jumper,Recycled Acrylic,71.0,3.5,15.0,55.0,20.0,Hand wash,0.015,0.2,8.0,Portugal,0.25,0.1,0.3,,0.0,,0.0,31.55
283,Zara,Jumper Slim Fit,€ 31.55,Woman,Jumper,Wool,29.0,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Portugal,0.25,0.1,0.3,,0.0,,0.0,31.55
284,Zara,Jacket Regular Fit,€ 80.44,Man,Jacket,Recycled Nylon,100.0,5.0,20.0,70.0,18.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,GRS,0.2,,0.0,80.44
285,Patagonia,Jumper Asymmetric,€ 184.81,Woman,Jumper,Recycled Cashmere,100.0,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,India,0.5,0.4,0.65,Fair Trade,0.2,Bluesign,0.2,184.81
286,Zara,Jacket Regular Fit,€ 99.40,Man,Jacket,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Cambodia,0.55,0.45,0.75,,0.0,,0.0,99.4
287,Penneys,Tshirt Cropped,€ 9.47,Woman,Tshirt,Polyester,100.0,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,,0.0,,0.0,9.47
288,Penneys,Tshirt Slim Fit,€ 5.37,Woman,Tshirt,Polyester,7.9,9.5,50.0,120.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,5.37
288,Penneys,Tshirt Slim Fit,€ 5.37,Woman,Tshirt,Organic Cotton,92.1,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,5.37
289,Penneys,Jacket Ribbed,€ 33.48,Woman,Jacket,Acrylic,85.8,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,33.48
289,Penneys,Jacket Ribbed,€ 33.48,Woman,Jacket,Nylon,0.4,8.5,40.0,140.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,33.48
289,Penneys,Jacket Ribbed,€ 33.48,Woman,Jacket,Cotton,13.8,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Vietnam,0.45,0.35,0.55,,0.0,,0.0,33.48
290,Zara,Sweater Textured,€ 31.71,Man,Sweater,Cashmere,40.3,30.0,700.0,200.0,60.0,Hand wash,0.015,0.2,8.0,Cambodia,0.55,0.45,0.75,GRS,0.2,,0.0,31.71
290,Zara,Sweater Textured,€ 31.71,Man,Sweater,Recycled Polyester,59.7,5.5,20.0,60.0,20.0,Hand wash,0.015,0.2,8.0,Cambodia,0.55,0.45,0.75,GRS,0.2,,0.0,31.71
291,Zara,Jumper Ribbed,€ 25.85,Man,Jumper,Cotton,41.3,6.0,2700.0,55.0,40.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,BCI Cotton,0.05,,0.0,25.85
291,Zara,Jumper Ribbed,€ 25.85,Man,Jumper,Cashmere,9.9,30.0,700.0,200.0,60.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,BCI Cotton,0.05,,0.0,25.85
291,Zara,Jumper Ribbed,€ 25.85,Man,Jumper,Acrylic,48.7,6.0,30.0,110.0,40.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,BCI Cotton,0.05,,0.0,25.85
292,Patagonia,Tshirt Textured,€ 70.76,Woman,Tshirt,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Fair Trade,0.2,Bluesign,0.2,70.76
293,Penneys,Jacket Slim Fit,€ 24.82,Woman,Jacket,Wool,13.3,14.0,800.0,160.0,45.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,24.82
293,Penneys,Jacket Slim Fit,€ 24.82,Woman,Jacket,Cotton,19.3,6.0,2700.0,55.0,40.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,24.82
293,Penneys,Jacket Slim Fit,€ 24.82,Woman,Jacket,Nylon,67.4,8.5,40.0,140.0,35.0,Hand wash,0.015,0.2,8.0,Bangladesh,0.55,0.45,0.7,,0.0,,0.0,24.82
294,H&M,Jacket Ribbed,€ 78.25,Woman,Jacket,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,,0.0,,0.0,78.25
295,Zara,Jacket Cropped,€ 67.50,Woman,Jacket,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,China,0.65,0.4,0.6,Oeko-Tex 100,0.1,,0.0,67.5
296,H&M,Jumper Slim Fit,€ 26.41,Man,Jumper,Acrylic,35.7,6.0,30.0,110.0,40.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,RWS,0.15,,0.0,26.41
296,H&M,Jumper Slim Fit,€ 26.41,Man,Jumper,Cashmere,64.3,30.0,700.0,200.0,60.0,Hand wash,0.015,0.2,8.0,Vietnam,0.45,0.35,0.55,RWS,0.15,,0.0,26.41
297,H&M,Sweater Oversized,€ 17.06,Woman,Sweater,Acrylic,100.0,6.0,30.0,110.0,40.0,Machine wash 30°C,0.04,0.5,15.0,China,0.65,0.4,0.6,Oeko-Tex 100,0.1,,0.0,17.06
298,Patagonia,Tshirt Textured,€ 39.28,Woman,Tshirt,Organic Cotton,100.0,3.2,1800.0,40.0,20.0,Machine wash 30°C,0.04,0.5,15.0,Thailand,0.45,0.35,0.55,Fair Trade,0.2,Bluesign,0.2,39.28
299,Patagonia,Tshirt Asymmetric,€ 66.30,Woman,Tshirt,Lyocell,100.0,3.0,200.0,45.0,15.0,Machine wash 30°C,0.04,0.5,15.0,Italy,0.3,0.1,0.35,Fair Trade,0.2,Bluesign,0.2,66.3
300,Patagonia,Tshirt Textured,€ 71.27,Woman,Tshirt,Cotton,100.0,6.0,2700.0,55.0,40.0,Machine wash 30°C,0.04,0.5,15.0,Portugal,0.25,0.1,0.3,Fair Trade,0.2,Bluesign,0.2,71.27
301,Zara,Jumper Asymmetric,€ 41.22,Woman,Jumper,Recycled Cashmere,100.0,5.0,150.0,50.0,15.0,Hand wash,0.015,0.2,8.0,Turkey,0.4,0.2,0.45,Oeko-Tex 100,0.1,,0.0,41.22
302,Patagonia,Jacket Cropped,€ 169.97,Woman,Jacket,Nylon,53.3,8.5,40.0,140.0,35.0,Machine wash 30°C,0.04,0.5,15.0,Turkey,0.4,0.2,0.45,Fair Trade,0.2,,0.0,169.97
